country_name,country_code,year,Time Code,pop_percent_65plus,continent
Afghanistan,AFG,1960,YR1960,2.798307831,Asia
Afghanistan,AFG,1961,YR1961,2.808130512,Asia
Afghanistan,AFG,1962,YR1962,2.804113291,Asia
Afghanistan,AFG,1963,YR1963,2.786170893,Asia
Afghanistan,AFG,1964,YR1964,2.754223004,Asia
Afghanistan,AFG,1965,YR1965,2.708892442,Asia
Afghanistan,AFG,1966,YR1966,2.718382881,Asia
Afghanistan,AFG,1967,YR1967,2.716105865,Asia
Afghanistan,AFG,1968,YR1968,2.701215552,Asia
Afghanistan,AFG,1969,YR1969,2.672957476,Asia
Afghanistan,AFG,1970,YR1970,2.631612862,Asia
Afghanistan,AFG,1971,YR1971,2.635235496,Asia
Afghanistan,AFG,1972,YR1972,2.627456119,Asia
Afghanistan,AFG,1973,YR1973,2.609505042,Asia
Afghanistan,AFG,1974,YR1974,2.583511575,Asia
Afghanistan,AFG,1975,YR1975,2.551445486,Asia
Afghanistan,AFG,1976,YR1976,2.558352938,Asia
Afghanistan,AFG,1977,YR1977,2.549321988,Asia
Afghanistan,AFG,1978,YR1978,2.524600864,Asia
Afghanistan,AFG,1979,YR1979,2.485762493,Asia
Afghanistan,AFG,1980,YR1980,2.434752609,Asia
Afghanistan,AFG,1981,YR1981,2.452756001,Asia
Afghanistan,AFG,1982,YR1982,2.446848941,Asia
Afghanistan,AFG,1983,YR1983,2.41337148,Asia
Afghanistan,AFG,1984,YR1984,2.346739983,Asia
Afghanistan,AFG,1985,YR1985,2.239398074,Asia
Afghanistan,AFG,1986,YR1986,2.271446269,Asia
Afghanistan,AFG,1987,YR1987,2.294741004,Asia
Afghanistan,AFG,1988,YR1988,2.302779178,Asia
Afghanistan,AFG,1989,YR1989,2.285279391,Asia
Afghanistan,AFG,1990,YR1990,2.232542086,Asia
Afghanistan,AFG,1991,YR1991,2.242331144,Asia
Afghanistan,AFG,1992,YR1992,2.25936254,Asia
Afghanistan,AFG,1993,YR1993,2.283410667,Asia
Afghanistan,AFG,1994,YR1994,2.317880814,Asia
Afghanistan,AFG,1995,YR1995,2.368318278,Asia
Afghanistan,AFG,1996,YR1996,2.369382304,Asia
Afghanistan,AFG,1997,YR1997,2.358940062,Asia
Afghanistan,AFG,1998,YR1998,2.34152651,Asia
Afghanistan,AFG,1999,YR1999,2.319288177,Asia
Afghanistan,AFG,2000,YR2000,2.291944549,Asia
Afghanistan,AFG,2001,YR2001,2.271866861,Asia
Afghanistan,AFG,2002,YR2002,2.25584792,Asia
Afghanistan,AFG,2003,YR2003,2.243148067,Asia
Afghanistan,AFG,2004,YR2004,2.233425234,Asia
Afghanistan,AFG,2005,YR2005,2.227488227,Asia
Afghanistan,AFG,2006,YR2006,2.251821196,Asia
Afghanistan,AFG,2007,YR2007,2.270637747,Asia
Afghanistan,AFG,2008,YR2008,2.287167908,Asia
Afghanistan,AFG,2009,YR2009,2.305590109,Asia
Afghanistan,AFG,2010,YR2010,2.328131562,Asia
Afghanistan,AFG,2011,YR2011,2.354461852,Asia
Afghanistan,AFG,2012,YR2012,2.386293853,Asia
Afghanistan,AFG,2013,YR2013,2.420207459,Asia
Afghanistan,AFG,2014,YR2014,2.451574871,Asia
Afghanistan,AFG,2015,YR2015,2.478662289,Asia
Afghanistan,AFG,2016,YR2016,2.519922544,Asia
Afghanistan,AFG,2017,YR2017,2.55425147,Asia
Afghanistan,AFG,2018,YR2018,2.58492694,Asia
Afghanistan,AFG,2019,YR2019,2.615794214,Asia
Afghanistan,AFG,2020,YR2020,2.649069652,Asia
Afghanistan,AFG,2021,YR2021,..,Asia
Albania,ALB,1960,YR1960,5.410827033,Europe
Albania,ALB,1961,YR1961,5.390892655,Europe
Albania,ALB,1962,YR1962,5.405406961,Europe
Albania,ALB,1963,YR1963,5.435019963,Europe
Albania,ALB,1964,YR1964,5.456234806,Europe
Albania,ALB,1965,YR1965,5.457788353,Europe
Albania,ALB,1966,YR1966,5.403602984,Europe
Albania,ALB,1967,YR1967,5.337062349,Europe
Albania,ALB,1968,YR1968,5.270811679,Europe
Albania,ALB,1969,YR1969,5.219959338,Europe
Albania,ALB,1970,YR1970,5.193036522,Europe
Albania,ALB,1971,YR1971,5.181208334,Europe
Albania,ALB,1972,YR1972,5.17773294,Europe
Albania,ALB,1973,YR1973,5.181004991,Europe
Albania,ALB,1974,YR1974,5.187536617,Europe
Albania,ALB,1975,YR1975,5.195768021,Europe
Albania,ALB,1976,YR1976,5.216628269,Europe
Albania,ALB,1977,YR1977,5.238050808,Europe
Albania,ALB,1978,YR1978,5.259420487,Europe
Albania,ALB,1979,YR1979,5.279647422,Europe
Albania,ALB,1980,YR1980,5.29841316,Europe
Albania,ALB,1981,YR1981,5.326657474,Europe
Albania,ALB,1982,YR1982,5.351013789,Europe
Albania,ALB,1983,YR1983,5.371491361,Europe
Albania,ALB,1984,YR1984,5.386207277,Europe
Albania,ALB,1985,YR1985,5.394636175,Europe
Albania,ALB,1986,YR1986,5.407770549,Europe
Albania,ALB,1987,YR1987,5.41125555,Europe
Albania,ALB,1988,YR1988,5.416846169,Europe
Albania,ALB,1989,YR1989,5.441162703,Europe
Albania,ALB,1990,YR1990,5.494978353,Europe
Albania,ALB,1991,YR1991,5.648770956,Europe
Albania,ALB,1992,YR1992,5.827499795,Europe
Albania,ALB,1993,YR1993,6.025915757,Europe
Albania,ALB,1994,YR1994,6.230599593,Europe
Albania,ALB,1995,YR1995,6.432480462,Europe
Albania,ALB,1996,YR1996,6.563784813,Europe
Albania,ALB,1997,YR1997,6.682599124,Europe
Albania,ALB,1998,YR1998,6.797480424,Europe
Albania,ALB,1999,YR1999,6.920844385,Europe
Albania,ALB,2000,YR2000,7.058160712,Europe
Albania,ALB,2001,YR2001,7.314589495,Europe
Albania,ALB,2002,YR2002,7.592252159,Europe
Albania,ALB,2003,YR2003,7.887145156,Europe
Albania,ALB,2004,YR2004,8.191170579,Europe
Albania,ALB,2005,YR2005,8.500717569,Europe
Albania,ALB,2006,YR2006,8.905554353,Europe
Albania,ALB,2007,YR2007,9.321660726,Europe
Albania,ALB,2008,YR2008,9.750595968,Europe
Albania,ALB,2009,YR2009,10.1923346,Europe
Albania,ALB,2010,YR2010,10.64540541,Europe
Albania,ALB,2011,YR2011,11.01498604,Europe
Albania,ALB,2012,YR2012,11.38751091,Europe
Albania,ALB,2013,YR2013,11.77078921,Europe
Albania,ALB,2014,YR2014,12.1806923,Europe
Albania,ALB,2015,YR2015,12.62654761,Europe
Albania,ALB,2016,YR2016,12.95621108,Europe
Albania,ALB,2017,YR2017,13.3290733,Europe
Albania,ALB,2018,YR2018,13.74473591,Europe
Albania,ALB,2019,YR2019,14.20263062,Europe
Albania,ALB,2020,YR2020,14.70458132,Europe
Albania,ALB,2021,YR2021,..,Europe
Algeria,DZA,1960,YR1960,3.24070754,Africa
Algeria,DZA,1961,YR1961,3.326673629,Africa
Algeria,DZA,1962,YR1962,3.423751195,Africa
Algeria,DZA,1963,YR1963,3.514529704,Africa
Algeria,DZA,1964,YR1964,3.57926389,Africa
Algeria,DZA,1965,YR1965,3.610032281,Africa
Algeria,DZA,1966,YR1966,3.618565429,Africa
Algeria,DZA,1967,YR1967,3.601228352,Africa
Algeria,DZA,1968,YR1968,3.57204256,Africa
Algeria,DZA,1969,YR1969,3.546692219,Africa
Algeria,DZA,1970,YR1970,3.532558105,Africa
Algeria,DZA,1971,YR1971,3.560342248,Africa
Algeria,DZA,1972,YR1972,3.590379164,Africa
Algeria,DZA,1973,YR1973,3.61415229,Africa
Algeria,DZA,1974,YR1974,3.621686139,Africa
Algeria,DZA,1975,YR1975,3.60981802,Africa
